time,symbol,open,high,low,close,volume,timestamp
2025-12-28 09:40:00+05:30,BTCUSD,87744.0,87810.0,87743.0,87779.0,12744,2025-12-28 09:40:00+05:30
2025-12-28 09:45:00+05:30,BTCUSD,87777.5,87778.5,87754.0,87754.0,7673,2025-12-28 09:45:00+05:30
2025-12-28 09:50:00+05:30,BTCUSD,87754.0,87769.5,87754.0,87769.5,3716,2025-12-28 09:50:00+05:30
2025-12-28 09:55:00+05:30,BTCUSD,87769.5,87775.0,87734.0,87774.0,6400,2025-12-28 09:55:00+05:30
2025-12-28 10:00:00+05:30,BTCUSD,87775.0,87775.0,87760.0,87760.0,2975,2025-12-28 10:00:00+05:30
2025-12-28 10:05:00+05:30,BTCUSD,87761.0,87761.0,87703.5,87741.0,6712,2025-12-28 10:05:00+05:30
2025-12-28 10:10:00+05:30,BTCUSD,87741.0,87742.0,87722.5,87723.0,3736,2025-12-28 10:10:00+05:30
2025-12-28 10:15:00+05:30,BTCUSD,87722.5,87738.0,87663.0,87694.5,8122,2025-12-28 10:15:00+05:30
2025-12-28 10:20:00+05:30,BTCUSD,87691.0,87691.0,87688.0,87689.5,8590,2025-12-28 10:20:00+05:30
2025-12-28 10:25:00+05:30,BTCUSD,87688.5,87707.5,87688.5,87690.5,7490,2025-12-28 10:25:00+05:30
2025-12-28 10:30:00+05:30,BTCUSD,87692.0,87693.0,87600.0,87649.5,29029,2025-12-28 10:30:00+05:30
2025-12-28 10:35:00+05:30,BTCUSD,87649.0,87679.0,87646.0,87655.0,8450,2025-12-28 10:35:00+05:30
2025-12-28 10:40:00+05:30,BTCUSD,87656.0,87673.5,87655.0,87668.0,4458,2025-12-28 10:40:00+05:30
2025-12-28 10:45:00+05:30,BTCUSD,87668.0,87669.0,87658.5,87658.5,4594,2025-12-28 10:45:00+05:30
2025-12-28 10:50:00+05:30,BTCUSD,87659.0,87659.0,87609.5,87612.0,14337,2025-12-28 10:50:00+05:30
2025-12-28 10:55:00+05:30,BTCUSD,87610.5,87613.0,87576.0,87589.0,19120,2025-12-28 10:55:00+05:30
2025-12-28 11:00:00+05:30,BTCUSD,87589.0,87633.5,87580.0,87620.0,12384,2025-12-28 11:00:00+05:30
2025-12-28 11:05:00+05:30,BTCUSD,87619.0,87656.5,87619.0,87628.5,15492,2025-12-28 11:05:00+05:30
2025-12-28 11:10:00+05:30,BTCUSD,87628.5,87660.0,87628.5,87653.0,3283,2025-12-28 11:10:00+05:30
2025-12-28 11:15:00+05:30,BTCUSD,87653.0,87674.5,87625.0,87632.5,7809,2025-12-28 11:15:00+05:30
2025-12-28 11:20:00+05:30,BTCUSD,87631.5,87686.5,87631.5,87679.0,10382,2025-12-28 11:20:00+05:30
2025-12-28 11:25:00+05:30,BTCUSD,87680.0,87680.0,87607.0,87629.0,6212,2025-12-28 11:25:00+05:30
2025-12-28 11:30:00+05:30,BTCUSD,87629.0,87629.0,87614.5,87622.0,3039,2025-12-28 11:30:00+05:30
2025-12-28 11:35:00+05:30,BTCUSD,87622.0,87660.0,87622.0,87660.0,5403,2025-12-28 11:35:00+05:30
2025-12-28 11:40:00+05:30,BTCUSD,87660.5,87683.0,87653.0,87683.0,5814,2025-12-28 11:40:00+05:30
2025-12-28 11:45:00+05:30,BTCUSD,87680.5,87680.5,87665.0,87666.0,4294,2025-12-28 11:45:00+05:30
2025-12-28 11:50:00+05:30,BTCUSD,87665.0,87714.0,87665.0,87707.5,10420,2025-12-28 11:50:00+05:30
2025-12-28 11:55:00+05:30,BTCUSD,87708.5,87713.5,87688.5,87705.0,11039,2025-12-28 11:55:00+05:30
2025-12-28 12:00:00+05:30,BTCUSD,87705.0,87707.5,87700.0,87700.5,6031,2025-12-28 12:00:00+05:30
2025-12-28 12:05:00+05:30,BTCUSD,87701.0,87743.5,87698.0,87738.0,10619,2025-12-28 12:05:00+05:30
2025-12-28 12:10:00+05:30,BTCUSD,87737.0,87763.0,87726.5,87758.0,18144,2025-12-28 12:10:00+05:30
2025-12-28 12:15:00+05:30,BTCUSD,87759.0,87759.0,87731.0,87743.5,11332,2025-12-28 12:15:00+05:30
2025-12-28 12:20:00+05:30,BTCUSD,87743.5,87743.5,87726.5,87741.0,7485,2025-12-28 12:20:00+05:30
2025-12-28 12:25:00+05:30,BTCUSD,87742.0,87748.0,87703.5,87704.0,7230,2025-12-28 12:25:00+05:30
2025-12-28 12:30:00+05:30,BTCUSD,87705.0,87705.0,87645.0,87675.5,17310,2025-12-28 12:30:00+05:30
2025-12-28 12:35:00+05:30,BTCUSD,87674.5,87707.0,87669.0,87680.5,7010,2025-12-28 12:35:00+05:30
2025-12-28 12:40:00+05:30,BTCUSD,87679.5,87687.5,87675.0,87687.5,3488,2025-12-28 12:40:00+05:30
2025-12-28 12:45:00+05:30,BTCUSD,87687.5,87687.5,87649.0,87655.5,8708,2025-12-28 12:45:00+05:30
2025-12-28 12:50:00+05:30,BTCUSD,87655.5,87676.5,87655.5,87665.5,5035,2025-12-28 12:50:00+05:30
2025-12-28 12:55:00+05:30,BTCUSD,87666.5,87666.5,87650.0,87662.0,4677,2025-12-28 12:55:00+05:30
2025-12-28 13:00:00+05:30,BTCUSD,87662.0,87675.5,87661.0,87666.5,3092,2025-12-28 13:00:00+05:30
2025-12-28 13:05:00+05:30,BTCUSD,87666.5,87666.5,87646.5,87654.0,3160,2025-12-28 13:05:00+05:30
2025-12-28 13:10:00+05:30,BTCUSD,87655.0,87659.0,87641.0,87649.5,3836,2025-12-28 13:10:00+05:30
2025-12-28 13:15:00+05:30,BTCUSD,87649.5,87706.0,87648.5,87704.5,7201,2025-12-28 13:15:00+05:30
2025-12-28 13:20:00+05:30,BTCUSD,87704.5,87704.5,87680.0,87697.0,2818,2025-12-28 13:20:00+05:30
2025-12-28 13:25:00+05:30,BTCUSD,87696.0,87707.0,87695.5,87707.0,3788,2025-12-28 13:25:00+05:30
2025-12-28 13:30:00+05:30,BTCUSD,87707.0,87733.5,87706.0,87719.0,10214,2025-12-28 13:30:00+05:30
2025-12-28 13:35:00+05:30,BTCUSD,87719.0,87792.0,87719.0,87791.0,14806,2025-12-28 13:35:00+05:30
2025-12-28 13:40:00+05:30,BTCUSD,87792.0,87792.0,87761.0,87771.0,11167,2025-12-28 13:40:00+05:30
2025-12-28 13:45:00+05:30,BTCUSD,87772.0,87782.5,87758.5,87760.0,14683,2025-12-28 13:45:00+05:30
2025-12-28 13:50:00+05:30,BTCUSD,87759.0,87760.0,87749.5,87756.0,27887,2025-12-28 13:50:00+05:30
2025-12-28 13:55:00+05:30,BTCUSD,87756.0,87756.0,87746.5,87756.0,35649,2025-12-28 13:55:00+05:30
2025-12-28 14:00:00+05:30,BTCUSD,87756.0,87756.0,87732.5,87733.5,16446,2025-12-28 14:00:00+05:30
2025-12-28 14:05:00+05:30,BTCUSD,87733.5,87841.5,87733.0,87838.0,25706,2025-12-28 14:05:00+05:30
2025-12-28 14:10:00+05:30,BTCUSD,87839.0,87956.5,87811.0,87814.5,61571,2025-12-28 14:10:00+05:30
2025-12-28 14:15:00+05:30,BTCUSD,87814.0,87846.0,87785.5,87791.5,16271,2025-12-28 14:15:00+05:30
2025-12-28 14:20:00+05:30,BTCUSD,87790.5,87799.0,87752.0,87790.0,17903,2025-12-28 14:20:00+05:30
