timestamp,open,high,low,close,volume,stochk_9_3,stochk_14_3,stochk_40_3,stochk_60_3,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,day,time,breakout,sl,entry,maxrr,rr
2025-07-25 10:20:00+05:30,246.88,247.39,246.65,247.32,182385,25.8,39.9,81.1,81.5,0.12,0.77,1.39,-0.01,1.04,1.72,57.97182431465127,0.33,2025-07-25,10:20:00,True,246.65,247.32,0.1,-0.2
2025-06-09 11:00:00+05:30,128.99,129.44,128.97,129.29,264789,34.1,61.2,86.8,86.0,0.73,1.81,2.58,0.5,2.35,3.02,74.79057352436821,0.35,2025-06-09,11:00:00,True,128.97,129.29,1.2,-0.3
2025-06-24 11:20:00+05:30,54.8,54.86,54.74,54.8,198762,25.0,19.1,83.1,83.1,0.11,0.76,1.28,-0.11,1.06,1.73,57.57738758428858,0.27,2025-06-24,11:20:00,True,54.74,54.8,2.4,0.1
2025-05-30 11:25:00+05:30,2074.1,2077.0,2070.0,2074.0,62899,23.9,31.4,88.4,88.5,0.35,2.22,3.93,-0.19,3.03,4.89,60.75520832428509,0.57,2025-05-30,11:25:00,True,2070.0,2074.0,-1.0,-1.0
2025-06-27 10:50:00+05:30,414.5,414.5,413.8,414.05,159201,22.3,39.1,83.1,83.5,0.04,0.47,0.7,-0.03,0.67,1.01,56.02823386348002,0.19,2025-06-27,10:50:00,True,413.8,414.05,0.8,0.3
2025-06-27 11:05:00+05:30,267.2,267.5,267.1,267.35,63650,36.4,63.7,81.5,82.0,0.22,0.66,1.14,0.11,0.86,1.31,61.03676755841084,0.24,2025-06-27,11:05:00,True,267.1,267.35,1.3,-0.4
2025-06-25 11:20:00+05:30,1956.7,1957.9,1956.4,1957.6,41035,29.9,52.5,83.2,80.5,0.2,0.44,0.6,0.13,0.7,0.49,60.303890421692344,0.16,2025-06-25,11:20:00,True,1956.4,1957.6,2.4,1.7
2025-05-26 11:20:00+05:30,1706.1,1708.4,1703.7,1706.3,576,13.2,17.5,80.0,79.8,0.03,0.28,0.35,-0.11,0.57,0.3,53.43056754629266,0.3,2025-05-26,11:20:00,True,1703.7,1706.3,0.3,0.1
2025-05-30 11:25:00+05:30,1840.7,1841.4,1835.2,1838.2,6918,13.6,15.6,83.7,83.7,-0.09,0.95,1.95,-0.49,1.43,2.75,53.394777712207684,0.36,2025-05-30,11:25:00,True,1835.2,1838.2,0.3,0.1
2025-06-17 11:05:00+05:30,32310.0,32365.0,32310.0,32345.0,49,32.2,32.2,76.8,87.7,0.05,0.28,0.75,0.03,0.16,0.86,53.75281374147061,0.16,2025-06-17,11:05:00,True,32310.0,32345.0,0.1,-0.5
2025-06-27 10:25:00+05:30,32370.0,32380.0,32335.0,32355.0,212,21.2,49.8,79.0,81.9,0.18,0.74,1.21,0.06,0.96,1.53,57.37484579528198,0.27,2025-06-27,10:25:00,True,32335.0,32355.0,1.0,0.4
